loan_loanIDX, loanPayDate, loanPayAmount
"53510314674754826949", "2014-1-9", 72000
"53510314674754826949", "2010-12-12", 18000
"45193912206910366666", "2016-3-24", 56800
"45193912206910366666", "2015-4-25", 14200
"98052487378264385209", "2016-2-15", 33000
"98052487378264385209", "2012-7-23", 33000
"69516950112737553309", "2017-3-3", 18600
"69516950112737553309", "2013-4-2", 27900
"69516950112737553309", "2012-5-6", 18600
"72445578513993478221", "2013-8-6", 21500
"50824965870329613577", "2017-3-18", 18200
"84630060448289858268", "2012-4-17", 54900
"84630060448289858268", "2014-1-27", 6100
"25830362112434392036", "2017-9-23", 27600
"38737587243787490730", "2010-6-1", 25200
"45358347308034576443", "2012-2-13", 82800
"45358347308034576443", "2015-3-2", 9200
"33236793682116666250", "2010-8-11", 59500
"33236793682116666250", "2015-10-19", 25500
"05230113722391695065", "2017-3-3", 6000
"05230113722391695065", "2016-6-15", 6000
"05230113722391695065", "2012-11-17", 8000
"52411835548183109541", "2016-6-24", 42000
"47688598707744721325", "2015-6-18", 22400
"54349242777098483331", "2015-2-17", 36000
"54349242777098483331", "2010-6-21", 54000
"23558115624389762390", "2013-4-25", 67200
"23558115624389762390", "2016-7-26", 28800
"67121490779741262071", "2013-7-3", 8000
"99488827710556515786", "2014-8-19", 35500
"63499620828460157593", "2015-6-22", 22000
"38101939095093876804", "2013-12-12", 2700
"05374385044366093489", "2016-2-10", 2800
"05374385044366093489", "2014-8-5", 2800
"05374385044366093489", "2011-6-25", 700
"17019098335794155368", "2011-6-2", 39600
"17019098335794155368", "2017-7-13", 9900
"15360183362807827890", "2012-4-26", 7400
"15360183362807827890", "2010-2-1", 44400
"09342751855271312561", "2016-10-15", 30800
"09342751855271312561", "2013-2-3", 46200
"30172961813613383404", "2017-6-12", 5200
"30172961813613383404", "2010-7-26", 7800
"12773503040557082066", "2016-8-26", 36000
"12773503040557082066", "2010-4-12", 9000
"17033392266352520427", "2013-8-19", 31200
"17033392266352520427", "2013-7-6", 46800
"26550505163013262607", "2011-8-5", 17200
"26550505163013262607", "2017-5-12", 8600
"26550505163013262607", "2014-6-19", 17200
"21845499661271768062", "2011-2-2", 47500
"11434093857451019531", "2011-4-19", 44000
"38312662028323622139", "2011-2-26", 5300
"65513033055833088152", "2011-6-21", 4500
"65513033055833088152", "2017-9-15", 500
"31799033119658672729", "2012-5-15", 3500
"31799033119658672729", "2010-1-1", 700
"31799033119658672729", "2011-7-26", 2800
"27490353497227300203", "2016-7-11", 54600
"93618834680229045505", "2013-4-24", 44100
"93618834680229045505", "2013-5-24", 18900
"73225312540341421847", "2016-2-11", 44000
"84390975265799832967", "2016-10-2", 27000
"22150292879806842637", "2017-8-7", 22400
"22150292879806842637", "2010-6-23", 5600
"92993473321907472321", "2015-11-1", 32800
"92993473321907472321", "2012-5-2", 49200
"84611037427413808251", "2014-7-1", 15000
"69018261888438256847", "2011-3-2", 47700
"69018261888438256847", "2017-3-23", 5300
"89821713714525433926", "2012-9-7", 18600
"95323664139312669079", "2017-11-13", 12900
"95323664139312669079", "2010-2-19", 30100
"46679417700986564101", "2011-9-11", 35000
"46679417700986564101", "2016-3-18", 15000
"60794667414171312387", "2010-6-3", 600
"60794667414171312387", "2017-2-5", 5400
"01849431447904379211", "2016-2-18", 26100
"01849431447904379211", "2013-5-3", 60900
"65317288618564434253", "2017-3-9", 26600
"65317288618564434253", "2013-6-24", 11400
"85583691365461354999", "2011-11-23", 9400
"85583691365461354999", "2016-5-11", 18800
"85583691365461354999", "2017-9-14", 65800
"21654321390751013016", "2015-10-22", 55800
"21654321390751013016", "2014-4-1", 37200
"93433373375457879453", "2017-1-6", 300
"93433373375457879453", "2016-9-24", 2400
"89643562937495028561", "2017-8-16", 4800
"89643562937495028561", "2014-1-20", 6000
"87947840703045231055", "2015-12-20", 14700
"87947840703045231055", "2014-9-24", 6300
"22432542461883398186", "2010-1-2", 50400
"22432542461883398186", "2014-7-2", 33600
"49065001049270835318", "2011-8-9", 8000
"49065001049270835318", "2016-3-11", 72000
"62786290436326071679", "2015-7-1", 18000
"62786290436326071679", "2015-2-11", 3000
"62786290436326071679", "2010-3-9", 9000
"84805033646754282231", "2014-7-21", 6000
"51186030187865690828", "2017-1-27", 7200
"41779912844079560465", "2010-8-26", 60000
"41779912844079560465", "2015-7-4", 40000
"29631834408501500805", "2011-4-6", 8500
"29631834408501500805", "2015-3-23", 59500
"76541151084585514518", "2012-7-23", 91000
"43110966250089937857", "2013-8-25", 5000
"43110966250089937857", "2016-9-26", 25000
"90575392131756497214", "2011-7-24", 34200
"90575392131756497214", "2015-3-5", 3800
"42027674961787224633", "2015-1-4", 67500
"42027674961787224633", "2014-10-22", 7500
"16220531459633513674", "2013-9-16", 54900
"76348878365994089378", "2015-3-22", 35600
"76348878365994089378", "2017-8-19", 26700
"76348878365994089378", "2013-10-16", 26700
"87079485090236164346", "2011-1-3", 2400
"99148283439670544020", "2012-7-15", 2200
"63952317461228347805", "2010-6-10", 45500
"63952317461228347805", "2016-6-26", 45500
"27742133968471855388", "2013-7-12", 30000
"04959070398442721868", "2016-11-23", 7900
"04959070398442721868", "2012-10-24", 7900
"04959070398442721868", "2012-5-20", 55300
"85477853080072377147", "2011-11-18", 48300
"85477853080072377147", "2014-9-27", 6900
"18109926709479466038", "2013-5-7", 45000
"18109926709479466038", "2017-6-25", 5000
"93130268627686843914", "2015-7-8", 3200
"93130268627686843914", "2011-1-20", 4800
"62460219168887983940", "2016-11-11", 8400
"62460219168887983940", "2012-8-10", 33600
"47149103779228108091", "2016-10-27", 2500
"69480393679151854926", "2011-4-8", 16800
"54294269251061117073", "2013-6-1", 2000
"54294269251061117073", "2014-11-11", 1200
"54294269251061117073", "2010-3-25", 800
"57491597059596087957", "2017-3-27", 62000
"69939772692244920217", "2015-2-17", 57000
"69939772692244920217", "2015-3-10", 38000
"93649980815085562026", "2017-8-13", 77000
"56080129470601753872", "2014-12-3", 67200
"26499988767209095614", "2016-10-22", 16800
"76951664704893136206", "2016-10-11", 57000
"97899472206726673001", "2015-1-24", 5600
"97899472206726673001", "2010-6-11", 14000
"97899472206726673001", "2012-11-21", 8400
"81531048430673915761", "2015-3-5", 10000
"81531048430673915761", "2015-2-19", 10000
"23573693234711380032", "2016-5-24", 28800
"70623704332214286864", "2012-12-12", 27000
"70623704332214286864", "2012-7-16", 9000
"21845852806633745146", "2011-9-23", 5100
"21845852806633745146", "2017-12-22", 5100
"21845852806633745146", "2012-10-14", 1700
"32954906119342253510", "2012-11-19", 1500
"57379890864115008601", "2016-10-9", 43400
"57379890864115008601", "2014-6-2", 18600
"70004117010770091717", "2014-7-22", 52800
"70004117010770091717", "2014-5-23", 35200
"87221298726883981240", "2010-9-27", 10800
"87221298726883981240", "2015-9-15", 16200
"09985704135167025056", "2013-9-15", 38400
"09985704135167025056", "2015-12-21", 9600
"40967748460520363837", "2012-4-2", 13200
"17146711786984004624", "2016-7-6", 30000
"03450059777704067934", "2012-5-10", 39600
"03450059777704067934", "2011-3-24", 59400
"64306923915223038489", "2013-4-1", 1000
"27513866048992961506", "2012-1-20", 18600
"19920907094820041015", "2010-11-18", 65000
"01583100188445233401", "2011-6-11", 24600
"65289782762937524426", "2010-3-8", 18800
"65289782762937524426", "2017-5-21", 14100
"31792086102220754186", "2010-8-22", 19200
"31792086102220754186", "2012-6-10", 3200
"66052798236938568859", "2016-10-21", 15200
"66052798236938568859", "2017-12-10", 22800
"51279655070779686263", "2010-4-2", 5700
"51279655070779686263", "2010-12-18", 51300
"12645240464383216584", "2012-7-1", 15600
"83162766287971092957", "2011-5-1", 16800
"83162766287971092957", "2012-5-12", 28000
"83162766287971092957", "2016-9-1", 11200
"49782444551971401042", "2017-3-18", 69600
"25765242554820982223", "2015-2-12", 11000
"25765242554820982223", "2015-12-24", 5500
"25765242554820982223", "2013-3-1", 16500
"03791056537890406729", "2015-8-3", 13600
"03791056537890406729", "2017-2-20", 17000
"31617633709145368305", "2011-12-1", 55300
"31617633709145368305", "2010-3-6", 7900
"05720735927620047479", "2014-5-13", 15000
"66762521149642622172", "2011-11-1", 1400
"66762521149642622172", "2017-9-16", 4900
"54647849285731459550", "2012-5-27", 4400
"54647849285731459550", "2014-9-26", 8800
"21347531529777367799", "2015-11-6", 2800
"21347531529777367799", "2016-6-9", 11200
"41367566833012206347", "2017-10-8", 22800
"41367566833012206347", "2010-7-16", 53200
"59529181324391443823", "2012-10-2", 93000
"48854036093206955478", "2016-11-11", 1200
"34687427484574326303", "2016-8-3", 23400
"02200003934163882868", "2011-7-1", 23400
"10989191991317481459", "2011-1-23", 37000
"10989191991317481459", "2012-7-2", 22200
"10989191991317481459", "2013-11-14", 14800
"83496692033048739339", "2017-4-5", 52800
"83496692033048739339", "2012-2-11", 13200
"55815422960739411299", "2012-4-2", 18800
"18584588743451144038", "2013-2-20", 2100
"18584588743451144038", "2010-2-7", 2800
"18584588743451144038", "2013-6-20", 700
"65950966458187149426", "2016-12-3", 24000
"65950966458187149426", "2014-4-3", 19200
"43787897094067230852", "2015-9-2", 38000
"11297477273360143425", "2010-10-26", 25600
"11297477273360143425", "2014-4-5", 6400
"44785680133970464068", "2017-2-21", 17200
"44785680133970464068", "2013-4-23", 68800
"30591378770733535326", "2015-5-14", 3600
"30591378770733535326", "2012-5-11", 2400
"60584572099038752890", "2016-10-23", 27300
"60584572099038752890", "2016-10-15", 7800
"91490140933537563238", "2011-5-19", 48500
"91490140933537563238", "2014-7-18", 19400
"77439287325385311004", "2016-8-21", 74700
"94696382027283806720", "2016-7-19", 18000
"94696382027283806720", "2016-9-13", 12000
"50526795905653562946", "2013-3-7", 72000
"50526795905653562946", "2016-9-15", 9000
"01631054387209014033", "2013-10-9", 9600
"01631054387209014033", "2011-5-11", 16000
"01631054387209014033", "2011-10-13", 6400
"84895846914524625964", "2011-5-7", 39600
"84895846914524625964", "2013-1-8", 19800
"84895846914524625964", "2013-9-27", 19800
"41041202330765836224", "2014-3-19", 39000
"91443220746320688204", "2017-3-8", 57600
"67760472045692623430", "2010-6-1", 95000
"11001002641203267963", "2012-1-7", 91000
"28248366046453997385", "2017-9-21", 400
"11903405176208278966", "2014-2-1", 87000
"62861519702751555323", "2015-2-14", 21600
"62861519702751555323", "2014-1-8", 5400
"30744152602653154000", "2013-6-5", 900
"30744152602653154000", "2014-2-5", 1800
"30744152602653154000", "2017-12-7", 300
"51783745205891100844", "2010-11-18", 16100
"81749558265320580220", "2015-12-26", 5100
"81749558265320580220", "2010-12-25", 1700
"81749558265320580220", "2017-6-4", 8500
"71283834441023033051", "2014-9-7", 90000
"38270149366835237543", "2017-10-24", 15600
"79273899151418866188", "2015-2-16", 4800
"79273899151418866188", "2014-4-9", 19200
"41469668149731395567", "2011-2-7", 30800
"41469668149731395567", "2015-9-17", 38500
"03920920533451997980", "2016-9-25", 13800
"75750981473563188488", "2017-7-2", 6600
"75750981473563188488", "2014-7-13", 4400
"33237830240445237945", "2013-3-1", 17600
"33237830240445237945", "2017-2-27", 70400
"53178167671216792082", "2013-11-7", 41000
"12087399105638276988", "2012-2-8", 600
"12087399105638276988", "2017-9-5", 3600
"12087399105638276988", "2015-5-26", 1200
"95453426988479895569", "2016-2-27", 20800
"95453426988479895569", "2012-9-17", 31200
"05497773790158782891", "2012-5-13", 50400
"81339331262280898239", "2015-9-3", 82000
"32794727999433802663", "2014-8-18", 7600
"60579107592976589059", "2016-6-20", 41000
"60579107592976589059", "2013-9-24", 41000
"61429037723782508373", "2012-3-7", 49700
"61429037723782508373", "2014-4-23", 21300
"03241045189069003660", "2015-7-13", 900
"03241045189069003660", "2017-5-15", 2100
"70133837441768052114", "2016-4-3", 21700
"70133837441768052114", "2013-7-2", 3100
"25712099132703773748", "2017-3-19", 5900
"28912187347045482109", "2010-10-6", 9000
"67465260997231649338", "2015-2-19", 78400
"73963107476586817789", "2017-12-13", 26100
"28615454865717976907", "2014-10-7", 2900
"28615454865717976907", "2010-11-17", 14500
"28615454865717976907", "2014-7-6", 11600
"42857909302018227805", "2014-8-9", 48000
"17718722379798167516", "2013-12-16", 3200
"52335027448892352134", "2010-6-21", 8000
"52335027448892352134", "2017-1-4", 16000
"52335027448892352134", "2010-2-9", 16000
"85494862402243897688", "2012-2-26", 40600
"01412469576756355955", "2015-11-10", 63000
"01412469576756355955", "2013-4-21", 7000
"52657226890609091037", "2011-7-20", 31600
"52657226890609091037", "2015-4-1", 47400
"69499994439684510306", "2015-11-1", 9200
"69499994439684510306", "2013-5-23", 6900
"69499994439684510306", "2017-2-18", 6900
"29259680655187402219", "2015-1-10", 10800
"29259680655187402219", "2014-6-18", 37800
"29259680655187402219", "2011-11-14", 5400
"37949801208671720443", "2017-4-20", 4500
"16122340304290507398", "2017-4-22", 35100
"16122340304290507398", "2016-8-19", 3900
"11425762552260076793", "2014-9-13", 74700
"89906824888724472360", "2017-2-22", 65700
"89906824888724472360", "2015-5-22", 7300
"21771350785691343310", "2011-10-2", 29700
"21771350785691343310", "2016-5-12", 3300
"99529809063693699221", "2010-3-7", 2600
"99529809063693699221", "2010-1-11", 1300
"99529809063693699221", "2014-11-12", 7800
"82627835909615361277", "2017-1-14", 87300
"35866259623892955623", "2016-5-23", 4000
"63554461319007348436", "2010-5-24", 27600
"63554461319007348436", "2010-1-12", 18400
"25995046232437055500", "2017-9-12", 50400
"03299446819471390659", "2015-12-19", 9600
"03299446819471390659", "2011-9-16", 9600
"18308848613776305937", "2014-10-18", 6400
"61516181656738973037", "2013-1-22", 7000
"61516181656738973037", "2015-9-8", 14000
"61516181656738973037", "2010-6-17", 14000
"55135955938936189849", "2016-7-8", 4300
"55135955938936189849", "2013-3-7", 25800
"55135955938936189849", "2012-10-27", 12900
"92971235452908783873", "2013-5-16", 19000
"27765277281233516221", "2010-4-24", 43000
"27765277281233516221", "2012-3-11", 25800
"27765277281233516221", "2015-1-25", 17200
"98563090074915212219", "2014-8-24", 18000
"62952799414168810270", "2016-2-5", 40500
"80346679763314453506", "2011-4-6", 74700
"80346679763314453506", "2013-8-19", 8300
"21745573188645741251", "2017-10-24", 18800
"21745573188645741251", "2012-1-24", 28200
"39582388099171762821", "2015-6-13", 5700
"39582388099171762821", "2011-4-20", 9500
"39582388099171762821", "2017-12-22", 3800
"52613354976526281202", "2014-7-11", 7000
"52613354976526281202", "2016-12-25", 1000
"72574209680940663887", "2017-1-20", 14000
"41811124084930671294", "2016-1-21", 1200
"41811124084930671294", "2010-6-3", 1200
"44456180407251292092", "2016-10-4", 67200
"44456180407251292092", "2011-5-16", 19200
"78709806970410630076", "2013-11-10", 14000
"29931861319299163018", "2017-1-8", 13800
"29931861319299163018", "2013-7-16", 9200
"78058089754811524879", "2014-5-15", 5400
"78058089754811524879", "2014-7-25", 12600
"90101869487054078450", "2016-4-14", 32400
"90101869487054078450", "2015-9-13", 21600
"19101240571549095355", "2014-1-13", 15000
"19101240571549095355", "2011-7-15", 15000
"19101240571549095355", "2011-4-8", 37500
"80482067493817187601", "2013-6-10", 7800
"80482067493817187601", "2012-1-23", 7800
"80482067493817187601", "2011-10-26", 10400
"27314986729328729669", "2014-1-6", 29600
"72961459144328330404", "2010-4-5", 3400
"18368331731093922747", "2010-10-16", 50000
"30153213626501618294", "2011-8-16", 19000
"30153213626501618294", "2011-4-8", 9500
"45561795811096457393", "2012-10-4", 12400
"45561795811096457393", "2011-5-19", 15500
"45561795811096457393", "2013-6-9", 3100
"30947876295062890966", "2017-11-8", 4600
"30947876295062890966", "2016-7-17", 23000
"08767797727860847494", "2017-10-21", 58100
"08767797727860847494", "2010-5-14", 24900
"30750036560527156545", "2017-10-13", 10000
"30750036560527156545", "2012-11-22", 20000
"00480667074208832568", "2011-8-13", 6000
"01256983877193850617", "2017-11-22", 54000
"01256983877193850617", "2015-2-21", 6000
"79069615145523660354", "2010-6-14", 50000
"64056279119267347906", "2014-7-4", 19200
"81950427963497564493", "2013-12-7", 41400
"81950427963497564493", "2011-9-24", 4600
"20511850694569542434", "2016-11-1", 60900
"85144773209848357302", "2013-5-21", 5600
"85144773209848357302", "2011-1-14", 1400
"55657681765306276506", "2017-8-1", 50400
"28642320825254613968", "2015-1-15", 3600
"97875615926754280086", "2013-11-8", 3500
"97875615926754280086", "2016-6-3", 3500
"44947297923535669357", "2013-6-20", 31600
"44947297923535669357", "2016-2-23", 47400
"42353804324520567459", "2010-6-23", 7000
"18278847578245965473", "2013-6-3", 17700
"18278847578245965473", "2016-10-20", 29500
"18278847578245965473", "2010-3-20", 11800
"57830404908229106225", "2012-10-27", 6000
"57830404908229106225", "2012-1-12", 4000
